X,Y,gml_id,beginLifespanVersion,conditionOfConstruction,beginning,end,endLifespanVersion,informationSystem,reference,localId,namespace,horizontalGeometryEstimatedAccuracy,horizontalGeometryEstimatedAccuracy_uom,horizontalGeometryReference,referenceGeometry,currentUse,numberOfBuildingUnits,numberOfDwellings,numberOfFloorsAboveGround,documentLink,format,sourceStatus,officialAreaReference,value,value_uom
292854.306798998,4605155.56674907,ES.SDGC.BU.002300100BG90E,2019-11-11T00:00:00,functional,1997-01-01T00:00:00,2004-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0023001&rc2=00BG90E,002300100BG90E,002300100BG90E,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=002300100BG90E,jpeg,NotOfficial,grossFloorArea,"566",m2
290853.530886302,4606859.05624999,ES.SDGC.BU.1048101BG9017S,2006-07-24T00:00:00,functional,1998-01-01T00:00:00,1998-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1048101&rc2=BG9017S,1048101BG9017S,1048101BG9017S,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1048101BG9017S,jpeg,NotOfficial,grossFloorArea,"7659",m2
290844.846107878,4606926.27025001,ES.SDGC.BU.1048101BG9017S,2006-07-24T00:00:00,functional,1998-01-01T00:00:00,1998-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1048101&rc2=BG9017S,1048101BG9017S,1048101BG9017S,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1048101BG9017S,jpeg,NotOfficial,grossFloorArea,"7659",m2
290920.060860441,4606940.37350097,ES.SDGC.BU.1048101BG9017S,2006-07-24T00:00:00,functional,1998-01-01T00:00:00,1998-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1048101&rc2=BG9017S,1048101BG9017S,1048101BG9017S,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1048101BG9017S,jpeg,NotOfficial,grossFloorArea,"7659",m2
290907.537186604,4606890.5737504,ES.SDGC.BU.1048101BG9017S,2006-07-24T00:00:00,functional,1998-01-01T00:00:00,1998-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1048101&rc2=BG9017S,1048101BG9017S,1048101BG9017S,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1048101BG9017S,jpeg,NotOfficial,grossFloorArea,"7659",m2
290906.867010074,4606845.89275,ES.SDGC.BU.1048101BG9017S,2006-07-24T00:00:00,functional,1998-01-01T00:00:00,1998-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1048101&rc2=BG9017S,1048101BG9017S,1048101BG9017S,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1048101BG9017S,jpeg,NotOfficial,grossFloorArea,"7659",m2
290957.533510521,4606812.3255,ES.SDGC.BU.1048101BG9017S,2006-07-24T00:00:00,functional,1998-01-01T00:00:00,1998-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1048101&rc2=BG9017S,1048101BG9017S,1048101BG9017S,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1048101BG9017S,jpeg,NotOfficial,grossFloorArea,"7659",m2
290953.998612916,4606926.65025,ES.SDGC.BU.1048101BG9017S,2006-07-24T00:00:00,functional,1998-01-01T00:00:00,1998-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1048101&rc2=BG9017S,1048101BG9017S,1048101BG9017S,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1048101BG9017S,jpeg,NotOfficial,grossFloorArea,"7659",m2
290966.578706591,4603297.63124984,ES.SDGC.BU.1136501BG9013S,2020-02-04T00:00:00,functional,2018-01-01T00:00:00,2018-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1136501&rc2=BG9013S,1136501BG9013S,1136501BG9013S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1136501BG9013S,jpeg,NotOfficial,grossFloorArea,"1161",m2
291118.143459416,4603368.59024994,ES.SDGC.BU.1136503BG9013S,2011-06-07T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1136503&rc2=BG9013S,1136503BG9013S,1136503BG9013S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1136503BG9013S,jpeg,NotOfficial,grossFloorArea,"4495",m2
291531.425,4603467.82,ES.SDGC.BU.1136506BG9013S,2015-09-30T00:00:00,functional,1992-01-01T00:00:00,1992-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1136506&rc2=BG9013S,1136506BG9013S,1136506BG9013S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1136506BG9013S,jpeg,NotOfficial,grossFloorArea,"88",m2
291008.739028471,4603297.35624961,ES.SDGC.BU.1136508BG9013S,2019-05-08T00:00:00,functional,2019-01-01T00:00:00,2019-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1136508&rc2=BG9013S,1136508BG9013S,1136508BG9013S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1136508BG9013S,jpeg,NotOfficial,grossFloorArea,"491",m2
291027.349783042,4606929.02325,ES.SDGC.BU.1148601BG9017S,2006-07-17T00:00:00,functional,2001-01-01T00:00:00,2001-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1148601&rc2=BG9017S,1148601BG9017S,1148601BG9017S,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1148601BG9017S,jpeg,NotOfficial,grossFloorArea,"136",m2
291163.759289359,4603262.39425041,ES.SDGC.BU.1234104BG9013S,2015-09-30T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1234104&rc2=BG9013S,1234104BG9013S,1234104BG9013S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1234104BG9013S,jpeg,NotOfficial,grossFloorArea,"1359",m2
291161.004120792,4603231.0035,ES.SDGC.BU.1234105BG9013S,2015-09-30T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1234105&rc2=BG9013S,1234105BG9013S,1234105BG9013S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1234105BG9013S,jpeg,NotOfficial,grossFloorArea,"600",m2
291148.003536996,4603223.02350001,ES.SDGC.BU.1234106BG9013S,2015-09-30T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=1234106&rc2=BG9013S,1234106BG9013S,1234106BG9013S,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1234106BG9013S,jpeg,NotOfficial,grossFloorArea,"884",m2
