X,Y,gml_id,beginLifespanVersion,conditionOfConstruction,beginning,end,endLifespanVersion,informationSystem,reference,localId,namespace,horizontalGeometryEstimatedAccuracy,horizontalGeometryEstimatedAccuracy_uom,horizontalGeometryReference,referenceGeometry,currentUse,numberOfBuildingUnits,numberOfDwellings,numberOfFloorsAboveGround,documentLink,format,sourceStatus,officialAreaReference,value,value_uom
297801.906278683,4615468.171,ES.SDGC.BU.001801600BG91F,2015-03-16T00:00:00,functional,2002-01-01T00:00:00,2002-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=0018016&rc2=00BG91F,001801600BG91F,001801600BG91F,ES.SDGC.BU,0.1,m,footPrint,"1",3_industrial,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=001801600BG91F,jpeg,NotOfficial,grossFloorArea,"1312",m2
298963.210094073,4616169.315,ES.SDGC.BU.25023A00100002,2017-05-24T00:00:00,functional,1970-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100002,25023A00100002,25023A00100002,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"2","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100002,jpeg,NotOfficial,grossFloorArea,"262",m2
299013.847640754,4616136.70774931,ES.SDGC.BU.25023A00100002,2017-05-24T00:00:00,functional,1970-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100002,25023A00100002,25023A00100002,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"2","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100002,jpeg,NotOfficial,grossFloorArea,"262",m2
298757.142752817,4615540.835,ES.SDGC.BU.25023A00100011,2017-05-24T00:00:00,functional,2014-01-01T00:00:00,2014-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100011,25023A00100011,25023A00100011,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100011,jpeg,NotOfficial,grossFloorArea,"95",m2
298351.765,4615304.06,ES.SDGC.BU.25023A00100014,2017-05-24T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100014,25023A00100014,25023A00100014,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100014,jpeg,NotOfficial,grossFloorArea,"26",m2
298051.18,4615019.675,ES.SDGC.BU.25023A00100023,2017-05-24T00:00:00,functional,2010-01-01T00:00:00,2010-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100023,25023A00100023,25023A00100023,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"1","0",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100023,jpeg,NotOfficial,grossFloorArea,"35",m2
298207.368198339,4614926.607575,ES.SDGC.BU.25023A00100025,2017-07-21T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100025,25023A00100025,25023A00100025,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"2","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100025,jpeg,NotOfficial,grossFloorArea,"115",m2
298218.677186599,4614925.3882,ES.SDGC.BU.25023A00100025,2017-07-21T00:00:00,functional,2008-01-01T00:00:00,2008-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100025,25023A00100025,25023A00100025,ES.SDGC.BU,0.1,m,footPrint,"1",1_residential,"2","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100025,jpeg,NotOfficial,grossFloorArea,"115",m2
297990.49984349,4614809.43500037,ES.SDGC.BU.25023A00100030,2017-05-24T00:00:00,functional,2009-01-01T00:00:00,2015-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100030,25023A00100030,25023A00100030,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"2","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100030,jpeg,NotOfficial,grossFloorArea,"899",m2
298117.3171,4614618.81,ES.SDGC.BU.25023A00100030,2017-05-24T00:00:00,functional,2009-01-01T00:00:00,2015-01-01T00:00:00,,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=25023A0&rc2=0100030,25023A00100030,25023A00100030,ES.SDGC.BU,0.1,m,footPrint,"1",2_agriculture,"2","1",,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=25023A00100030,jpeg,NotOfficial,grossFloorArea,"899",m2
