"year","postalcode","percentagepopulationover65","percentagepopulationunder18","percentagesinglepersonhouseholds","population","incomesperhousehold","netincomesperhousehold","incomesperunitofconsumption","grossincomesperperson","netincomesperperson","incomessourceisotherbenefits","incomessourceisotherincomes","incomessourceispension","incomessourceisunemploymentbenefit","incomessourceissalary","giniindex","incomesratioq80byq20","averagepopulationage","peopleperhousehold"
2015,"25001",14.105650639844118,19.99733793248723,26.67746853441466,37978,35267,29561,17122,13640,11429,538,1297,2516,302,8985,31,2,40,2
2016,"25001",14.432501374957441,20.050857711547025,26.28961317863971,38183,36434,30483,17662,14093,11788,575,1306,2600,258,9353,31,2,40,2
2017,"25001",14.826575043516666,20.02269621469954,26.958543555636382,38491,37864,31550,18351,14694,12238,596,1341,2693,233,9829,30,2,41,2
2018,"25001",15.06224646983312,19.888236200256742,27.1699486521181,38950,39196,32606,18952,15208,12647,693,1452,2793,230,10039,29,2,41,2
2019,"25001",15.42368394126976,19.66670077249706,27.104299892566633,39094,41366,34306,19983,16082,13330,715,1481,2991,242,10650,29,2,41,2
2020,"25001",15.85122306199571,19.63001736288428,27.05711622919007,39164,41575,34511,20049,16187,13434,787,1334,3085,634,10346,28,2,42,2
2021,"25001",16.290328741310383,19.370296147284254,27.550161696926484,39271,43629,35827,20963,17122,14057,782,1562,3167,380,11229,28,2,42,2
2022,"25001",16.290328741310383,19.370296147284254,27.550161696926484,39271,43629,35827,20963,17122,14057,782,1562,3167,380,11229,28,2,42,2
2023,"25001",16.290328741310383,19.370296147284254,27.550161696926484,39271,43629,35827,20963,17122,14057,782,1562,3167,380,11229,28,2,42,2
2024,"25001",16.290328741310383,19.370296147284254,27.550161696926484,39271,43629,35827,20963,17122,14057,782,1562,3167,380,11229,28,2,42,2
2015,"25002",16.92103727853803,16.58089314057741,33.443721848054565,23311,34458,28718,16736,13727,11439,601,1742,3098,307,7978,37,3,42,2
2016,"25002",17.045716873706006,16.780749654934436,32.50128105590062,23184,35411,29491,17183,14082,11726,615,1735,3207,273,8250,37,3,42,2
2017,"25002",17.357656842468113,16.788163564288176,33.5375301620131,23208,36894,30613,18024,14816,12294,688,1855,3256,260,8755,35,3,42,2
2018,"25002",17.20428668825635,16.647025737174026,33.548099539798876,23468,37881,31416,18469,15259,12652,778,1839,3356,280,9004,34,3,42,2
2019,"25002",17.42942572578936,16.54019071837254,34.00608179699089,23595,39204,32279,19077,15790,12997,769,1833,3500,280,9406,34,3,42,2
2020,"25002",17.80970753222284,16.58416477540359,33.9876846657817,23353,39672,32814,19354,16153,13356,833,1777,3616,631,9295,34,3,43,2
2021,"25002",18.106054628875263,16.487543415805497,34.017241970755975,23321,41523,33998,20113,16986,13901,835,2012,3653,423,10062,32,2,43,2
2022,"25002",18.106054628875263,16.487543415805497,34.017241970755975,23321,41523,33998,20113,16986,13901,835,2012,3653,423,10062,32,2,43,2
2023,"25002",18.106054628875263,16.487543415805497,34.017241970755975,23321,41523,33998,20113,16986,13901,835,2012,3653,423,10062,32,2,43,2
2024,"25002",18.106054628875263,16.487543415805497,34.017241970755975,23321,41523,33998,20113,16986,13901,835,2012,3653,423,10062,32,2,43,2
2015,"25003",19.400079058327478,16.86729327711408,29.545546380885458,34152,34551,28944,16443,13190,11060,632,1634,3208,285,7429,36,3,43,2
2016,"25003",19.853189785568112,17.040727229587446,29.292345107809115,33717,35350,29572,16806,13528,11326,659,1609,3306,252,7701,35,3,43,2
2017,"25003",20.147719267086995,17.010816090933307,30.50286238640737,33783,36734,30605,17625,14231,11869,744,1726,3391,239,8129,33,3,43,2
2018,"25003",20.321407115090114,16.928410295676755,29.93456826481329,33956,39201,32464,18603,15086,12514,815,1886,3506,240,8629,33,2,43,2
2019,"25003",20.48670824914346,16.75246712934493,30.427192597147794,34149,40792,33629,19281,15716,12977,830,1906,3636,249,9089,32,2,43,2
2020,"25003",20.90080542477273,16.792499481803915,30.54209824997779,33771,41445,34239,19697,16156,13368,904,1895,3806,568,8971,32,2,44,2
2021,"25003",21.09016271750104,17.0454688520696,30.539450086109625,33678,43133,34663,20357,16932,13661,915,2082,3862,406,9652,31,2,44,2
2022,"25003",21.09016271750104,17.0454688520696,30.539450086109625,33678,43133,34663,20357,16932,13661,915,2082,3862,406,9652,31,2,44,2
2023,"25003",21.09016271750104,17.0454688520696,30.539450086109625,33678,43133,34663,20357,16932,13661,915,2082,3862,406,9652,31,2,44,2
2024,"25003",21.09016271750104,17.0454688520696,30.539450086109625,33678,43133,34663,20357,16932,13661,915,2082,3862,406,9652,31,2,44,2
2015,"25004",17.532977321915872,16.852474828267617,32.88194692763715,21254,32169,26978,15484,12711,10645,568,1751,3122,321,6948,38,4,42,2
2016,"25004",17.68427895981087,17.01171158392435,32.141777777777776,21150,33099,27803,15905,13020,10924,583,1656,3164,276,7338,38,3,42,2
2017,"25004",17.71276082327892,17.19796072864916,32.55914833215046,21135,33987,28437,16417,13503,11283,662,1613,3157,269,7800,36,3,42,2
